domain,is_dga
pokerdom-6394.ru,0
uncinoehk.ru,0
cijizedax.ru,0
g8excxvtkd7uoixtfsfztz.ru,1
slopegame.online,0
euwubjryr.ru,1
mdmgames.com,0
t-1yafmlnzsivlvuduw.com,0
reecjdj.net,1
jw9ed-.ru,0
jbabekv5msoilz.ru,1
q1ehe.at,0
123br.bet,0
v4tq2f8tn.ru,1
pinupslotcazino-play.ru,0
hb0nx.ru,0
yq45ngfg.com,1
blondypro.ru,0
m9pl1cb0sap.com,0
k6ntnruc3wu.com,0
rd2sy387co28b.ru,1
minemu.net,0
hedu.us,0
tnqfzwtaiglfj.ru,1
ads2-adnow.com,0
doctor-42.ru,0
abdfj.cn,1
bitrix24.com.tr,0
goodfon.ru,0
brodatzki.com,0
bvoi17szwj.ru,1
vavada-556.ru,0
glomelanin.com,0
wzbdt2oskbztpg.ru,1
gfjzwljcl.ru,1
hbymblktp.com,1
createaforum.com,0
restoran-kabanchik.ru,0
avtoproblem-net.ru,0
map1x.net,0
m5ttw24dgj2tw-mxyeigmz6mdjp7.ru,1
zgj.nl,0
pgcwwcs.com,1
mallmed.ru,0
raqyx9e9b16qviwk.ru,1
jeyyrm2z43qx.com,1
bp35t5acjdmzhr.ru,1
wkmpkqbdawjajqpwekja.ru,1
o1badyhyiwdst.ru,0
betwinnerdream.ru,0
i6qfyf2.ru,1
unomomento-pizza.ru,0
qkyfnzam.com,1
taxi-airport-pulkovo.ru,0
jba271bnyhlhn.ru,1
vsepc.games,0
jz6rm1wexkjk.org.br,1
sf1jr16.net,0
mainboard.net.ru,0
hellyhansen.com,0
trade-area.com,0
florenciainc.ru,0
xr8n2glme.tv,0
ah2nsj85tt6z.ru,1
mbixrda0cw.ru,1
volnacasino-mya2.ru,0
s4jihmwrjlabvojib-li.co.uk,1
vsemrabota.ru,0
ohqvb-bajd0.ru,0
aoakvxkycrbw.ru,1
adblock-shield.com,0
ghtpcsyti.ru,1
vavadacasino-019.buzz,0
ph4dxywa6xhvq94.ru,1
p0emvnz4.online,1
sevosetia.ru,0
alkomig66-204.ru,0
dowcur1kx1mlx.com,1
mvgl11hzl7xwf.com,1
kon2wykyklxtry.ru,1
pokerdom-kazinoplay.ru,0
mop8-ykd3.org,0
r8f-h1.co.uk,0
a5gxqwy.net,1
creative-1xbet522.ru,0
medknigkiii59.ru,0
fantasticpicture.ru,0
r5pknr1.com,0
hl4mws3s-sqkxbm.com.pl,0
krepkiy-oreshek-film.ru,0
admiral-x-dia.ru,0
nbjlvnghniwd.ru,1
ph3v021oli3.com.au,0
oma.aero,0
yr3kstwkzldcnwignw.ru,1
flybb.ru,0
gsvvdzpcqw.ru,1
jfz0k1f.space,0
nrzj3wgt8p.ru,1
cuketka.cz,0
lw4ba.com,0
angl-gdz.ru,0
stale.ru,0
slotozal786.ru,0
1win-casino152.ru,0
so7ocg.com,0
superstep.ru,0
poolcleaningideas.com,0
n5m0e5.ru,0
e6nxmzi3jjs.ru,1
msaid.io,0
vgywowuscp.top,1
nr2.ru,0
yuihh9atlxclnnclmr4m-.ru,1
a-a-ah.ru,0
autolansopt.ru,0
nbrwxdxiy.ru,1
yeeg.top,0
gazmskazot.ru,1
c52gynhz.ru,0
a3of6lu.jp,1
azino777-join.ru,0
jgzd4viejiw.gg,1
iwdqwx9gy7h.org,1
sojele.ru,0
on3nhabqs.ru,0
w8ugny0cgx80.com,1
asgrk.cn,0
pinup-casino1y.ru,0
wsm0pce7nnsb.ru,1
igkmby28q7fkom6k.com,1
qrscanner.live,0
uy69oket.com,0
axtnoqsvvyj.ru,1
ofukgcx7.com,1
geepas.com,0
lmn.int,0
magiachisel.ru,0
1wihr.top,0
remtn3hfq5xbq2.ru,1
loinjahgp8bf97is.ru,1
casino-frank-official.org.ru,0
alcobar52.ru,0
curiosidadesmundo.com,0
bayareafp.com,0
tireworldkan.com,0
d6zcqwz.win,1
qe50kebgy.ru,1
alconight002.ru,0
studarium.ru,0
jcjo.ca,0
inrs0lh.com.br,0
wo8epuockz8l.ru,1
once.com,0
chelseanews.ru,0
fxwrqghao.ru,1
okp34aepvczvvfcctjuers.ru,1
khwbq-kcaovg.ru,1
777cassino.vip,0
casinoversus555.info,0
rcfslwcevs3.ru,1
imperatorskazino.club,0
cte1nzxs71ugtl.ru,1
yn0h-0th.ru,0
vavada-g5.ru,0
realmomkitchen.com,0
homesoverseas.ru,0
apk.cafe,0
legzo-casino22.ru,0
ksywcdprmnycn.xyz,1
cpntqic3bu9qj.ru,1
mob-1xbet.ru,0
original-joycasino943.ru,0
kosnet.ru,0
teletvi.com,0
kttim3utn.com.br,0
xdhm.xyz,1
yni7ckrhdmons5.ru,1
azino-777vhod.ru,0
goldfishka236.ru,0
mr-in.com,0
rtaj397qo.ru,0
xuurdak.ru,0
rusbandy.ru,0
chesapeakebay.net,0
ccqmsg7mdyrma.com,1
umek7k7neafs.ru,1
kimberly-club.ru,0
kuhni-bay.ru,0
biblus.in,0
mann72.ru,0
cay7hxc4tq.quest,1
bckfp265.ru,0
vredno-ili-net.ru,0
marimedia.ru,0
mhuteo-sdlekqcstd.ru,0
k3aik08j0dzbw5e0epp9iotyf.ru,1
sindom.ru,0
messe-muenchen.de,0
velderhof.nl,0
zfy7atknxphd1w2.fun,1
xaas.ir,0
lu4bvpge9.co,1
medotpchel.ru,0
umdkv1s.cloud,1
teqwxkcuvmeyg.ru,1
best-status.ru,0
jntlpsmqxpkkxg.ru,1
tvaw558l5cu2e.top,1
g6hjhi-d4hm.com,0
pokerdom77vk.ru,0
inse17n4l.net,0
scryde.ru,0
o7vmkxidp.com,1
cnvvkd.ru,1
projektledning.se,0
u9scyisrsk3hi.online,1
dteikpgwugqjk.com,1
ii0aaiv06148.ru,1
ocwkmhisv3sco.ru,1
zbp1zzubklu-4uyhgkxz.com,1
sejoy.ru,0
sashi-mi.ru,0
pokerdomstar1.ru,0
rnhcgxhz.com,1
kent-casino-amp14.ru,0
ministol.ru,0
w9tbii8t14w8.ru,1
arvqq-mzir.ru,1
qingshuxuetang.com,0
melbet-24.ru,0
joycasino-62zn.ru,0
nbzpryer.ru,1
sns-wy9.de,0
jw8kd7qs8.ru,1
ca-fefuvltjo.com,0
rustaro.ru,0
d7.lt,0
corimcloud.fr,0
mbus.ru,0
ttigroup.com,0
voditelskoeinfo.ru,0
jis4at1r87.ru,0
sh7j3jugqyi.com,1
2igrovoyclubvulkan.com.ru,0
family-nation.it,0
koeihwlt.ru,1
lightning-e.com,0
meteorf.ru,0
mytishi-times.ru,0
pbvukipjtdh3.ru,1
turbokazino.ru,0
zoo24.de,0
jrtsnaouwut2o4xnfyc60s9ebil4.ru,1
casino-dragonmoney.ru,0
o4h.gov.tw,0
topcines.online,0
nobleprog.co,0
lk3b7vfkphs35.ru,1
performancematters.com,0
chia.tt,0
newbobfilm.ru,0
rpo0crk8.com,1
admiralxprime.ru,0
lordas.ru,0
tojml053wj.ru,1
zcnwdvilanf.xyz,1
vavadaajj9.ru,0
cuqepqjeeyxl-ed.com,1
azino777z2jy.ru,1
lbgybn19.ru,0
r6mefly3v.ru,0
trollfilm.ru,0
vavadacasinos7-7.ru,0
globaltableadventure.com,0
a5wtc1q9.com,1
googleandroidpay.ru,0
avarnsecurity.com,0
k-rqbqwauyhq.ru,1
fappenpics.com,0
n3kybjbi5skh.com.cn,1
gaminator.systems,0
lroyh.org,0
sales.lv,0
azinotopcazino.ru,0
jaw-h9jidde9h-.ru,0
tifgehbwh.ru,1
oxijczku.com,1
qciejigpikn1qc.ru,1
sopoeqnpz.com,1
vjbz.hu,0
hz-lfq0jst3l.ru,0
gerbeaud.com,0
pravda-nn.ru,0
racingnews365.nl,0
mp9sich.tw,0
kl0ojed2iecwdtq1o.com,1
clubnikaexpert.ru,0
timlru.ru,0
anna-med.ru,0
grubsouth.com,0
gccm6ysiva3nhru7bka94.org,1
hmaorrvca1aef.ru,1
a11kvwndu0i.ru,0
dineengine.io,0
kp9gu.ru,0
icnh3ax.ru,0
darufa.ru,0
roxcasino-frost.ru,0
doocbs.ru,0
oxr4pigbs6.ru,1
vendanovas.com.br,0
nby67hi.ru,0
pblblwecgkroa8.ru,1
burmalda-bonus.ru,0
agregatoreat.ru,0
groznyy-sofosbuvir.ru,0
starda-klin1.ru,0
azino777-slotscazino.ru,0
s36ox1pglk581.se,1
ttt7zswaz.ru,0
slriprgc5.ru,0
nokiazone.ru,0
web24.live,0
lgpth1yxqg.de,1
f-hpa.company,0
c6q1-6yels1l89rzh.ru,1
yrqq-ppw7bmgfzghen.ru,1
zsufyhrm.fm,1
trailermovie.ru,0
dd4r.ge,0
sanbravo.ru,0
vomgtfwbs-3ogv7.com,0
kinohuman.ru,0
spiti24.gr,0
p1y2zj5.ru,0
gsgnbrzhzkz.ru,1
kitaygid.ru,0
teleport2001.ru,0
gander.co,0
productlistgenie.com,0
freevulkan.ru,0
qddsbl.ru,1
lebigdata.fr,0
airdropalert.com,0
nkq3rbxzk2lzukg.top,1
posmotrelki.ru,0
qshsnopc.ru,1
z7fykyor.shop,1
pokerdom121f.ru,0
fju7yyvsuh0l.ru,1
lfrxq95d6m6yb.top,1
suhkmtdrr.ru,1
ei-gn943no0euqipwy.ru,1
ministerialassociation.org,0
superslots1.com.ru,0
alhe5h4onl4.com.br,0
azino777-site.club,0
xgwi8rpdcuwpxz.ru,1
doctorshagarova.ru,0
viva-it.com,0
tue8yxnpczetpj.com,1
q6.dog,0
islamdag.ru,1
deep.ch,0
yjzbqzgoqjnw.ru,1
silverwoodexpress.com,0
edelweiss-service.ru,0
mptluzhu.ru,0
coke-fashion-5ka.ru,0
kzsollot.com,0
oe4mob2ihi6tbue0e7.ru,1
frenchstream2.cc,0
asante.org,0
ibuxr0e.me,0
mymo98wgiuk3m5.ru,1
calverthomeschool.com,0
lvuq1tq.ru,1
travelstaytion.com,0
rajalacamera.fi,0
ff4o27yjt24.ru,1
k4vb1l7p.com,0
mlzba33mz.ru,0
xpscxizts.net,1
nevosoft.ru,0
bwm1lknsinznkb.com,1
fr6ghedi19plu4.ru,0
akvarelufa.ru,0
pearl-bdm.com,0
oqadoridpe12qwgtdubahw.edu,1
cgtarian.ru,0
kiae.ru,0
asurso.ru,0
livehdplay.ru,0
jpzjpmzycyujmru.ru,1
owfrusd.ru,0
domvanna.ru,0
tingamehot48h.com,0
gha11-kugy.ru,0
yl4relnzksjk.com,1
onproof.net,0
wsoffostore.ru,0
virginmegastore.ae,0
bt6s8vzuaj8sl45s.ru,1
w91p1x5xy2wv9wgih2nvlh.online,1
azart777-vavada.ru,0
alekxschool.ru,0
athenz.io,0
a2mudlj.ru,0
pokerdom121e.ru,0
rfdxh6.ru,0
hvx.edu.vn,0
lusakatimes.com,0
dstats.net,0
pinup2024regi.ru,1
ahltf.ru,1
epel.cloud,0
k3l7o50f.ru,0
fj.ru,0
akajmmwttm4.net,1
spbwell.ru,0
hp6yn5z.org,0
cb89p2-9.ru,0
h-to.ru,0
pro-cto.ru,0
7jzic2hylf.ru,1
dgtohwbhss639.ru,1
vegasgrand4.ru,0
cat-casino-play603.ru,0
gh8hugmw8.in,1
center-anna-matari.ru,0
ventualkentineda.info,1
lmkcrom.ru,0
uuzaax.ru,0
nnkg-rwz.nl,0
mirrorweb.com,0
vietsub1.info,0
1stkissnovel.org,0
daddycasino-site.ru,0
spnzptthpf.ru,1
bez-deposita.ru,0
brillx14.ru,0
oiz-gh.ru,0
e3g9.ru,0
demoney.one,0
kursk-sofosbuvir.ru,0
qjs6gj33r9.com,0
q1yb51ymi.org,1
tfp6e5swle.la,1
liblbt.ru,0
z5hxcyk.app,1
qxtstkuw.ru,1
alcobar-24-7.ru,0
admiralx-qeo.ru,0
admiral-x1.ru,0
bknuatkyr.ru,1
akitut.ru,0
belugagroup.ru,0
kf.cn,0
trixi.cz,0
joymol.ru,0
fb2gpslpegt.com,1
eelex5ji5z.com,0
xqkhwkndm.ru,1
yiuuumpgg.ir,1
ghubdtdluficn.ru,0
fedorova-academy.ru,0
dc-neptun.ru,0
vavada-mk.ru,0
datagram.com,0
alkodom130.ru,0
muv40aq9f.ru,1
f9xqxjsksys1.ru,1
rexific.com,0
iturria.com.ar,0
sphdilziv.ru,0
eduvision.edu.pk,0
materiamedica.ru,0
comunic.ru,0
kinodrive.pro,0
hzsp3dh7lcwuo.top,1
freizeitmonitor.de,0
rva.gov,0
dh2ame.com,0
hfrvwlvf.co.jp,1
hroni.ru,0
r76aftskquh.com,1
sgitzsrqupb.ru,1
bk-1win-zerkalo.ru,0
sypm9pb1ecjjv8rzyp0r.ru,1
berdis.ru,0
wpapers.ru,0
leon-zerkalo116.ru,0
z1upkkypze.ru,0
r2ccj.ru,0
rbi.ru,0
dllkgmgq.ru,1
mydimomaintmx.com,0
freshcasino-beg.ru,0
xnwzwdjwx.ru,1
kd18fsrh.com,0
mlegacy.ru,0
silebu.xyz,0
d15gs6qmd40fmef.ru,1
ottumwacourier.com,0
qq2a20lm.com,0
jncidzqjgnuyw9f.ru,1
nebf01nedf.ru,0
text2go.app,0
casino1win-315.ru,0
mijwb-ar9-55nzjqssyqw.ru,0
zonarsystems.net,0
l0hv.ru,0
pinup-cosino.ru,0
roxcasino-8.ru,0
barnehageside.no,0
l24referral.com,0
rospofilm.ru,0
nx0.ru,0
1win-vaucher.ru,0
uam.ru,0
j25fx3-dv.ru,0
rvw67.ru,0
to6b-bfyqng6.ru,0
weorehrrs.ru,0
itzdy.com.br,0
ast-inter.ru,0
t9tkkw.in,0
bxsulawrrdmihhk.com,1
yruhf.ru,1
ubjrrl1v.ru,0
feoyqgyjurw.ru,1
xjfpfdumvjmysrnh.ru,1
jdgztdkjnhgzdeaajgo-beh.ru,1
j7g5xd26i1easb.ru,1
rsvsk.ru,1
b1kurcvb7rz.ru,0
ua9pmhou.com,0
1xbet-atl.top,0
smolhramspb.ru,0
w0vuqs1s.com,1
no-mad-world.club,0
g2vzh.ru,0
p10vhldw.net,0
csb.gov.jo,0
miyonet.com,0
flzgpz1.ru,1
acsrecovery.com,0
homq.in,0
ejwlqe6elrwxgddf.ru,1
p02-x.ru,0
hzoc0dxci.com,1
prava-v-msk.ru,0
kflz9e430vya4t5ld2a.com,1
unifran.edu.br,0
japfwmhl.com,1
roxcasino-pr1.ru,0
mr---ia7dw45whz.ru,0
beatvenues.be,0
xzfuyaj7qxi5j.shop,1
hind5mlc.ru,0
nmkrupin.ru,0
bsg.cn,0
xumjrcszhsz6pl.ru,1
bgn6tdnjekyijr.ru,1
f0x1adc04y2i8d.fr,1
tjtjuwqywawozsdm1.com,1
upmaxbetslots-845.ru,0
vdcyry5b.ru,1
joycasino-red12a.ru,0
fvr.to,1
infinityspeakers.cn,0
rktrtxpd7xd.com,1
gltjjl.ru,1
chinabeston.com,0
firstlightfcu.org,0
tele-sport.ru,0
rostfinance.ru,0
cheapsms.ru,0
apcinet.com,0
friv10000.net,0
orbo.ru,0
jdo.ru,0
blgxtrqajb2gzlg.hu,1
visasam.ru,0
ocwlcnyo4u4dwasytqv.ru,1
ywzlexqfvq-0hwvavl.ru,1
hsialife.com,0
blxqsr.ru,1
batkcjri.ru,1
admiralx-slotkazino.ru,0
jkf9hhcjz0gxozqotsqg.ru,1
official-pokerdom.lol,0
yiesgwgldg.xyz,1
iosoc.ru,0
finsmes.com,0
br6oiubwgz2f.com,1
antivulkan.ru,0
sofosbuvir-store.ru,0
wisegeek.ru,1
b3q8fdbd6tlph.ru,1
adasitecompliance.com,0
if21xq3ogeyvi9unf.ru,1
vvjgsvk2.ru,1
prof-dv.ru,0
rbtrack.ru,0
ee7pmww02i9dd.ru,1
lnsfnrmw.ru,1
lizardy.ru,0
hthgxrhtbrayu.ru,1
moykaoptom.ru,0
icolor.app,0
bbkv1l1g1.ru,1
ebiqrjnlrund.com,1
isn.nl,0
hcphinvks.ru,0
1clubnika-casino-online.ru,0
rkfjen5.ru,0
y01re8msny58zl-5k.ru,0
lovereads.ru,0
armsauto.com,0
shopotam.ru,0
d1eg80m0bt.com,1
wtwh962575.ru,0
1-casino-xxx.ru,0
top1sex.biz,0
j1jat.ru,0
lwx7k3y984ocyhv3.com,1
vzlopn3moo.ru,0
apteka92.ru,0
vpyzq-oejk.ru,1
cnu4fqzduo7.ru,1
weilitoutiao.net,0
azart-best3.ru,0
xg6g8snvy.com,1
mlctw-5kf.ru,0
kasinobooipay.ru,0
ddestiny.ru,0
4are.com,0
mkrf.ru,0
ti-hpxe.ru,0
bkc.ru,0
23home.ru,0
jfuylvmkbpb1.com,1
admiralx-vipgame.ru,0
cdnjk.com,1
chetv.ru,0
btffhibjgvioq.ru,1
oyq8f2bmqsb3mpg.ru,1
alt2pbofg68khtc.ru,1
uubcdwbcridll.com,1
je3zbsh.ru,0
1x-bet-skachat.ru,0
weiggio.net,0
tradegrand.ru,0
zartschool.ru,0
lmc5vnakwo48q.ru,1
y81lh.cz,0
xiv9euu6c.ru,1
timebook.ru,0
geszpwxjol.com,1
lhz-cc4ws0t6.ru,0
conselldemallorca.net,0
erfpkj7qkmyp.site,1
l2fweei-p0.edu,0
i1lwdnrkjtk.ru,1
yu0.tf,0
xui6z9.co,0
cspey6.ru,0
waitdf-kgx7l6.com,0
piznyy.com.br,0
azino777slotkazino.ru,0
b911eplqfm655.com,1
designtemplateplace.com,0
tkbnimdpjiygbuf.com,1
mntsxv6vxfqnbfh.top,1
cravebooks.com,0
minelord.ru,0
tkvz0pfnwgnciqor.ru,1
jrkum8ixlaay.city,1
vsaunah.ru,0
j03f.net,0
vujqozfazzpg.ru,1
g9yxcsg-fmvr.ru,0
vf060.com,0
oozwkpk8hc8jx.ru,1
ldo-b1qro2yxab.se,0
u8nhlsr.com,0
yumatu.net,0
p814s3ye.com,0
osd8brxo.ru,0
c3otbumgba.ru,1
rifmvionwiiz.ru,0
tuma.jp,0
qbhagmtltkyor.ru,1
vavada-480.ru,0
twlp2psh.ru,0
n66hsufk-z.ru,0
pokerdonn.ru,0
el6cuu2.tech,0
1obraz.ru,0
myescreen.com,0
foqfryn01m32m.com,1
bachecavirtuale.it,0
rhrx357.org,0
xhla.bz,0
savept.com,0
hello-doordash.com,0
saunalyux.ru,0
evita-studio-of-beauty.ru,0
soc-club.ru,0
kiryayapkp4pvq.com,1
hpjgzzkdbk9.ru,1
k1ukvgofigo.com,1
sj3v0rdnpylcah.ru,1
tiji.ru,0
driftcasino-trans9.ru,0
clubvulcan24.bet,0
g9kltf7md.ru,1
ecomare.nl,0
zqrgxajh9tt0h1q.ru,1
h7wzc00km6nt.pt,1
pg4zc.ru,0
1xbet-zerkalo102.ru,0
hrigettqlxt.ru,1
gr9bp4v0.eu,0
fjvkd49.ru,0
mwzc29ffpylsx2l.ru,1
ntpqjtccckwf.top,1
fe0sh7t1hf5h923j.ru,1
qe3i2.com,0
tpuwslnkfai5.ru,1
ambdoc.ru,0
eztgjwbmzgeg.top,1
azino-2346.ru,0
tvkursk.ru,0
schooladmin.ca,0
plg.bet,0
poker-dom24.ru,0
admhmao.ru,0
i1l7.ru,0
azconfig.io,0
mak923.com,0
milanatarba.ru,0
streamflix.one,0
jjurnal.ru,0
alpha-pvp.com,0
santafe.gob.ar,0
jqxzgd.com.br,1
trncoo.net,0
hping.ru,0
barbecuedinastiya.ru,0
t0yy8jm.com,1
v5w09wsozol85floft.ru,1
bet-elds.xyz,0
ccl.ru,0
hxvcb6.com,1
glfeglvfgj.ru,1
ry5a93o.net,0
v0zo.ru,0
izaeczarri.ru,0
vqpdvfrtogdkzsjs.ru,1
min2win.ru,0
nzca.eu,0
twxnbmt.ru,1
qkxa862ide5-aqrq.ru,1
dqhliorjp.ru,1
888766.net,0
pokerdom-cgd7.top,0
rzocdl.nl,0
vavada7772.ru,0
legzocasino-official191.ru,0
travelpoint.ge,0
bwbsk2.ru,0
q3vf9.ca,0
xk2dte1xbkjfjm.ru,1
vavada-495.ru,0
q451cz2ln5ti.ru,1
eldowwin.xyz,0
j5mzrfqmfwi6ohxu.ru,1
zwxspbuv.net,1
py24n.com,0
pinup-777.com.ru,0
om-apps.com,0
s-ezql.ru,0
dogfrench.ru,0
v00nlia.org,0
slot-eldorado.ru,0
vpyz.com.br,0
winowin.ru,0
newtime24.ru,0
pylrotpzy.ru,0
b66g.ru,0
khinkali-cafe.ru,0
xefdy3d.ru,1
pizlhrgegddjrls.ru,1
jr1rxqq.ru,1
ut56g2z.ru,0
loveopium.ru,0
oiytht3no9msxv3-2.com,0
r1psh7b0pa-v49qelkrwi.com,0
hiklxveym9xzlqvbt.xyz,1
rgtsparus.ru,0
bw9ngvf5rjh2tkl.ru,1
zcw4edk.com,1
vulkandetal.ru,0
thasnasty.com,0
cdmxggeaeadcttfuyir.ru,1
marinels.com,0
drfirst.com,0
b5nzcsmxhxplhkgk.ru,1
jalmanah.ru,0
mbx-sender-03.ru,0
freshcasinowinslots2.ru,0
trinnylondon.com,0
divnostroj.ru,0
ig5hssx6.ru,1
booi-casino-dib.ru,0
andreynorkin.ru,0
ecolespb.ru,0
pokerdomter.top,0
shepherd-email.org,1
w9spqyxlfe.ru,1
entertainment.com.au,0
lbswqcc.ru,1
w2orlqt1pkvam.com,1
alkonapitkoff190.ru,0
fuzolulu25uglryv.ru,1
top10xpokerrooms.ru,0
svadba1000.ru,0
1xbetter.ru,0
cvdaoplqte.ru,1
hippofunnygame.com,0
obprdee.com,0
bravosunday.com,0
